"id","submitdate","lastpage","startlanguage","D0Q1[SQ001]","D0Q1[SQ004]","D0Q1[SQ005]","D0Q1[SQ006]","D0Q1[SQ007]","D0Q1[SQ008]","D0Q1[SQ009]","D0Q1[SQ010]","D0Q1[SQ003]","D0Q1[SQ014]","D0Q1[SQ002]","D0Q1[SQ011]","D0Q1[SQ012]","D0Q1[SQ013]","D0Q2[0]","D0Q2[1]","D0Q2[2]","D0Q2[3]","D0Q2[4]","D0Q2[5]","D0Q2[6]","D0Q2[7]","D0Q2[8]","D0Q22[9]","D0Q22[10]","D0Q22[11]","D0Q22[12]","D0Q22[13]","D0Q22[14]","D0Q22[15]","D0Q3","D0Q4","D0Q5[1]","D0Q5[2]","D0Q5[3]","D0Q5[4]","D0Q5[5]","D0Q5[6]","D0Q5[7]","D0Q5[8]","D0Q5[9]","D0Q5F[1]","D0Q5F[2]","D0Q5F[3]","D0Q5F[4]","D0Q5F[5]","D0Q5F[6]","D0Q5F[7]","D1Q7","D1Q8","D2Q10","D2Q12","D2Q12[comment]","D0Q13","D0Q13[comment]","D1Q14[1]","D1Q14[2]","D1Q14[3]","D1Q14[4]","D1Q14[5]","D1Q14[6]","D1Q14[7]","D1Q14[other]","D3Q15","D3Q16","D2Q25","D2Q26","D5Q27","D3Q17","D4Q18","D5Q19","D5Q19[comment]","D1Q20","D5Q21","D5Q22[1]","D5Q22[2]","D5Q22[3]","D5Q22[4]","D5Q22[5]","D5Q22[6]","D5Q22[7]","D5Q22[8]","D5Q22[9]","D5Q22[10]","D5Q22[11]","D5Q22[other]","D2Q23","D3Q24","D4Q28","D4Q9[1]","D4Q9[2]","D4Q9[3]","D4Q9[4]","D4Q9[5]","D4Q9[6]","D4Q9[7]","D4Q9[8]","D4Q9[9]","D4Q9[10]","D4Q9[11]","D4Q9[12]","D4Q9[13]","D4Q9[14]","D4Q9[other]","D2Q6","D2Q6[comment]","D2Q11[1]","D2Q11[2]","D2Q11[3]","D2Q11[4]","D2Q11[5]","D2Q11[6]","D4Q29","Demo1","Demo2","Demo3","Demo3[other]","Demo4","Demo4[other]","Demo5","Demo6","Demo7","Other1","interviewtime","groupTime765","D0Q1Time","D0Q2Time","D0Q22Time","D0Q3Time","D0Q4Time","D0Q5Time","D0Q5FTime","groupTime766","D1Q7Time","D1Q8Time","D2Q10Time","D2Q12Time","D0Q13Time","groupTime768","D1Q14Time","D3Q15Time","D3Q16Time","D2Q25Time","D2Q26Time","D5Q27Time","groupTime769","D3Q17Time","D4Q18Time","D5Q19Time","D1Q20Time","D5Q21Time","D5Q22Time","D2Q23Time","D3Q24Time","groupTime771","D4Q28Time","D4Q9Time","D2Q6Time","D2Q11Time","D4Q29Time","groupTime772","Demo1Time","Demo2Time","Demo3Time","Demo4Time","Demo5Time","Demo6Time","Demo7Time","Other1Time"
"5","1980-01-01 00:00:00","6","de","Ja","Ja","Nein","Ja","Nein","Ja","Nein","Nein","Ja","Nein","Ja","Nein","Ja","Nein","5","4","1","5","3","1","2","1","1","1","1","1","2","1","1","1","1","","5","5","Nutze ich nicht","4","3","2","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Ja","Ja","3","Ja","Bing,Yahoo","Ja","Benutze Google von Anfang an und sehe keinen Grund das zu ändern.","Nein","Nein","Nein","Nein","Nein","Ja","Nein","","Ja","Angepasste Suchergebnisse, ich finde schneller was ich Suche.","","","","Nein","Nein","","","Weiß nicht","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","","4","3","3","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Ja","Ja","Nein","","Nein","","3","1","3","3","4","4","2","männlich","21.0000000000","Realschulabschluss","","Student/-in","","4","3","Nein","","658.82","178.11","","","","","","","","155.39","","","","","","105.76","","","","","","","71.05","","","","","","","","","102.08","","","","","","46.43","","","","","","","",""
"6","1980-01-01 00:00:00","6","de","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Ja","Nein","5","1","5","5","5","1","5","1","1","1","5","2","2","1","1","4","1","","5","Nutze ich nicht","5","5","5","5","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","5","3","2","Nutze ich nicht","4","Nutze ich nicht","Ja","Ja","2","Weiß nicht","Wikipedia","","","Ja","Ja","Ja","Ja","Ja","Ja","Nein","","Weiß nicht","","","","","Weiß nicht","","","","Weiß nicht","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","","2","2","3","Ja","Ja","Ja","Ja","Ja","Nein","Nein","Ja","Nein","Nein","Ja","Ja","Ja","Nein","","Nein","","2","2","2","2","2","2","3","weiblich","18.0000000000","Realschulabschluss","","In Ausbildung","","2","2","Nein","","793.64","374.64","","","","","","","","39.51","","","","","","64.26","","","","","","","78.4","","","","","","","","","131.07","","","","","","105.76","","","","","","","",""
"7","1980-01-01 00:00:00","6","de","Nein","Ja","Nein","Ja","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Ja","Nein","5","3","5","5","5","1","2","5","1","1","5","2","4","1","1","5","1","","5","5","5","5","5","3","Nutze ich nicht","5","Nutze ich nicht","Nutze ich nicht","5","4","5","Nutze ich nicht","5","Nutze ich nicht","Weiß nicht","Ja","1","Ja","Yahoo","Ja","Es ist praktisch und geht schnell","Ja","Ja","Ja","Ja","Ja","Ja","Nein","","Weiß nicht","","","","","Nein","Weiß nicht","","","Weiß nicht","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","","4","3","4","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","","Nein","","3","3","3","3","3","3","3","weiblich","15.0000000000","Kein Abschluss","","Sonstiges","Schüler","2","1","Nein","","883.55","217.78","","","","","","","","98.66","","","","","","71.95","","","","","","","96.9","","","","","","","","","121.08","","","","","","277.18","","","","","","","",""
"8","1980-01-01 00:00:00","6","de","Ja","Ja","Nein","Ja","Nein","Ja","Nein","Nein","Ja","Nein","Ja","Nein","Ja","Nein","2","2","5","1","3","1","4","3","1","1","2","1","1","1","1","1","2","privat und dienstlich","1","Nutze ich nicht","4","Nutze ich nicht","2","3","Nutze ich nicht","2","Nutze ich nicht","Nutze ich nicht","2","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Ja","Ja","1","Ja","Altavista, MetaGer","Ja","große Trefferauswahl; da fast alle Menschen Google Suche nutzen, gehen andere Suchmaschienen unter","Ja","Ja","Ja","Ja","Nein","Ja","Nein","","Nein","","","","","Nein","Ja","","","Weiß nicht","Weiß nicht","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","","1","1","3","Ja","Ja","Ja","Nein","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Nein","","Nein","","1","1","1","1","1","1","5","männlich","54.0000000000","Bachelor/Master/Diplom","","Berufstätig","","2","3","Ja","die Schrift der ersten Seite ist sehr klein ( musste ich mit Strg++ vergrößern)","712.67","190.31","","","","","","","","165.48","","","","","","45.34","","","","","","","97.77","","","","","","","","","91.02","","","","","","122.75","","","","","","","",""
"9","1980-01-01 00:00:00","6","de","Nein","Nein","Ja","Ja","Nein","Nein","Nein","Nein","Ja","Nein","Ja","Nein","Nein","Nein","5","1","1","1","2","1","4","2","1","1","3","1","1","1","1","1","0","","5","Nutze ich nicht","3","Nutze ich nicht","2","4","Nutze ich nicht","1","Nutze ich nicht","Nutze ich nicht","1","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Ja","Ja","1","Ja","","Ja","Sehr umfangreiche Antwort auf Suchanfrage.","Ja","Nein","Ja","Ja","Ja","Nein","Nein","NSA (einseitig, Google liefert)","Nein","","","","","Nein","Ja","","","Ja","Weiß nicht","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","keine","1","1","3","Ja","Ja","Nein","Ja","Ja","Nein","Ja","Ja","Ja","Nein","Nein","Ja","Ja","Nein","wenn sie meine Daten verfolgen, haben sie ein sehr genaues Persönlichkeitsprofil","Ja","auf mich zugeschnittene Werbung bzw. Hinweise auf Internetseiten","1","1","1","1","2","1","3","weiblich","47.0000000000","Sonstiges","Hochschulabschluss nach altem System","Nicht Berufstätig","","2","2","Nein","Die Frage ""welchen höchsten Schulabschluss...."" ist unklar. Bachelor ist kein Schulabschluss. Was schreiben die, die Meisterprüfung haben?","923.11","224.27","","","","","","","","109.57","","","","","","74.13","","","","","","","110.57","","","","","","","","","183.53","","","","","","221.04","","","","","","","",""
"10","1980-01-01 00:00:00","6","de","Ja","Nein","Nein","Ja","Nein","Ja","Nein","Nein","Ja","Nein","Ja","Nein","Ja","Nein","5","2","5","2","5","2","3","1","3","4","4","3","2","1","1","2","1","","5","2","5","Nutze ich nicht","5","4","3","Nutze ich nicht","2","3","4","4","3","4","3","Nutze ich nicht","Ja","Ja","1","Ja","Bing, Yahoo, DuckDuckgo","Ja","Schnell, effizient, zu faul umzustellen","Ja","Ja","Nein","Nein","Nein","Ja","Nein","","Nein","","","","","Nein","Ja","","","Ja","Nein","Ja","Nein","Ja","Nein","Ja","Nein","Ja","Nein","Ja","Ja","Nein","","2","2","1","Ja","Ja","Ja","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Ja","Nein","","Ja","NSA zum Negativen","1","1","1","1","4","1","4","männlich","23.0000000000","Abitur/Fachabitur","","Student/-in","","2","1","Nein","gogo Richard! hf&gl","372.91","129.98","","","","","","","","62.2","","","","","","51.92","","","","","","","39.61","","","","","","","","","46.97","","","","","","42.23","","","","","","","",""
"11","1980-01-01 00:00:00","6","de","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Ja","Nein","3","Ja","","Weiß nicht","","Nein","Nein","Nein","Nein","Ja","Nein","Nein","","Weiß nicht","","","","","Ja","","Weiß nicht","","Weiß nicht","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","","3","3","4","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","Nein","","1","1","1","1","1","1","2","weiblich","77.0000000000","Abitur/Fachabitur","","Nicht Berufstätig","","3","3","Nein","","328.92","194.55","","","","","","","","42.5","","","","","","11.44","","","","","","","24.65","","","","","","","","","27.12","","","","","","28.66","","","","","","","",""
"12","1980-01-01 00:00:00","6","de","Ja","Ja","Nein","Ja","Nein","Ja","Nein","Nein","Ja","Nein","Ja","Nein","Ja","Nein","5","4","5","4","4","3","5","1","3","4","3","1","2","1","1","4","2","Seperater Youtube Kanal ","5","3","5","2","4","4","2","Nutze ich nicht","2","3","3","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Ja","Ja","2","Ja","Bing, DuckDuckgo","Ja","Zuverlässigste Ergebniss (weil zugeschnitten auf mich O.o)","Nein","Nein","Nein","Nein","Ja","Ja","Nein","","Nein","","Nein","","","Nein","Ja","","","Nein","Nein","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","Ja","","2","2","1","Ja","Ja","Nein","Ja","Nein","Ja","Nein","Nein","Nein","Nein","Ja","Ja","Ja","Nein","","Ja","Snowden","3","1","2","3","5","2","2","männlich","28.0000000000","Abitur/Fachabitur","","In Ausbildung","","5","4","Ja","","441.74","140.69","","","","","","","","58.57","","","","","","42.56","","","","","","","70.08","","","","","","","","","90.52","","","","","","39.32","","","","","","","",""
"13","1980-01-01 00:00:00","6","de","Ja","Ja","Nein","Ja","Nein","Ja","Nein","Nein","Ja","Nein","Ja","Nein","Ja","Nein","5","1","5","1","5","1","4","1","1","1","2","2","1","1","1","3","1","","5","Nutze ich nicht","5","Nutze ich nicht","5","5","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","2","3","Nutze ich nicht","Nutze ich nicht","3","Nutze ich nicht","Ja","Ja","2","Ja","","Ja","","Ja","Nein","Ja","Ja","Ja","Nein","Nein","","Nein","","","","","Nein","Ja","","","Ja","Nein","Nein","Nein","Ja","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Ja","","2","2","2","Ja","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","","Nein","","1","1","1","1","4","4","3","weiblich","22.0000000000","Bachelor/Master/Diplom","","Student/-in","","4","3","Ja","","425.05","141.23","","","","","","","","57.35","","","","","","38.88","","","","","","","62.76","","","","","","","","","88.57","","","","","","36.26","","","","","","","",""
"15","1980-01-01 00:00:00","6","de","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Ja","Nein","Ja","Nein","Ja","Nein","5","1","1","2","5","3","4","1","2","4","1","2","4","3","1","1","2","Ich habe einen für mich privat und meine unsortierten sachen, und einen weiteren für ein konzentriertes Hobby, der sauber und ordentlich bleiben soll.","5","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","5","5","Nutze ich nicht","Nutze ich nicht","Nutze ich nicht","4","Nutze ich nicht","2","5","4","Nutze ich nicht","Nutze ich nicht","Weiß nicht","Weiß nicht","4","Ja","Yahoo","Ja","Aus Gewohnheitsgründen und weil ich mich in die Benutzung von Google bereits eingearbeitet habe (Zauberwörter, Anführungszeichen, etc.). Außerdem bietet Google eben noch die Möglichkeit Literatur zu durchsuchen (v.a. auch historische).","Nein","Nein","Nein","Nein","Nein","Ja","Nein","","Weiß nicht","","Nein","","","Weiß nicht","","","","Weiß nicht","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Ja","Nein","","4","3","3","Ja","Ja","Nein","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Ja","Nein","","Nein","","4","2","2","5","5","4","2","männlich","22.0000000000","Abitur/Fachabitur","","Student/-in","","4","3","Nein","","759.74","178.58","","","","","","","","160.6","","","","","","45.21","","","","","","","47.38","","","","","","","","","79.18","","","","","","248.79","","","","","","","",""
